COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
----------- --------- ------------------------ -----------
社員C char 4 NO
社員N varchar 16 YES
社員R varchar 8 YES
社員F varchar 30 YES
郵便番号 varchar 8 YES
住所1 varchar 40 YES
住所2 varchar 40 YES
電話番号 varchar 13 YES
携帯番号 varchar 13 YES
社員K char 1 NO
性別 char 1 NO
血液型 char 1 NO
生年月日 datetime NULL YES
入社年月日 datetime NULL YES
退職年月日 datetime NULL YES
大分類1 char 1 NO
中分類1 char 2 NO
小分類1 char 2 NO
大分類2 char 1 NO
中分類2 char 2 NO
小分類2 char 2 NO
公団ﾌﾟﾚｰﾄ char 4 YES
売上目標額 int NULL NO
運転免許K char 1 NO
免許証番号 varchar 12 YES
次回更新日 datetime NULL YES
自車傭車K char 1 NO
計算K char 1 NO
支払率 decimal NULL NO
端数K char 1 NO
部門C char 3 NO
運賃ﾊﾟﾀｰﾝC char 3 NO
記事1 varchar 40 YES
記事2 varchar 40 YES
記事3 varchar 40 YES
記事4 varchar 40 YES
記事5 varchar 40 YES
予備1 varchar 64 YES
予備2 varchar 64 YES
予備3 varchar 64 YES
予備4 varchar 64 YES
予備5 varchar 64 YES
勤務体系C char 2 NO

(43 行処理されました)
