COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
----------- --------- ------------------------ -----------
日報K char 1 NO
運行年月日 datetime NULL YES
配車K char 1 NO
車輌C char 4 NO
車輌H char 2 NO
運転手C char 4 NO
傭車先C char 6 NO
傭車先H char 3 NO
助手1 char 4 NO
助手2 char 4 NO
入力年月日 datetime NULL YES
初回年月日 datetime NULL YES
入力担当C char 4 NO
受注年月日 datetime NULL YES
管理年月日 datetime NULL NO
管理C int NULL NO
積込年月日 datetime NULL YES
納入年月日 datetime NULL YES
積置K char 1 YES
車種C char 2 NO
受注部門 char 3 NO
稼動部門 char 3 NO
売上K char 1 NO
売上種別C char 2 NO
請求K char 1 NO
伝票NO varchar 15 YES
得意先C char 6 NO
得意先H char 3 NO
発地C char 6 NO
発地N varchar 40 YES
着地C char 6 NO
着地N varchar 40 YES
品名C char 4 NO
品名H char 2 NO
品名N varchar 32 YES
走行KM decimal NULL NO
実車KM decimal NULL NO
請求走行KM decimal NULL NO
請求実車KM decimal NULL NO
数量 decimal NULL NO
単位 varchar 4 YES
ﾄﾝ数 decimal NULL NO
単価 decimal NULL NO
金額 int NULL NO
値引 int NULL NO
割増 int NULL NO
実費 int NULL NO
傭車単価 decimal NULL NO
傭車金額 int NULL NO
傭車値引 int NULL NO
傭車割増 int NULL NO
傭車実費 int NULL NO
確定K char 1 NO
備考 varchar 64 YES
売上年月日 datetime NULL YES
支払年月日 datetime NULL YES
入金予定日 datetime NULL YES
支払予定日 datetime NULL YES
消費税 int NULL NO
傭車消費税 int NULL NO
税額 int NULL NO
割増税額 int NULL NO
実費税額 int NULL NO
傭車税額 int NULL NO
傭車割増税額 int NULL NO
傭車実費税額 int NULL NO
税抜金額 int NULL NO
税抜割増 int NULL NO
税抜実費 int NULL NO
税抜傭車金額 int NULL NO
税抜傭車割増 int NULL NO
税抜傭車実費 int NULL NO
税K char 1 NO
傭車税K char 1 NO
税率 decimal NULL NO
傭車税率 decimal NULL NO
運転手売上 int NULL NO
助手1売上 int NULL NO
助手2売上 int NULL NO
輸送収入振替 int NULL NO
売上金額振替 int NULL NO
課税売上 int NULL NO
非課税売上 int NULL NO
課税支払 int NULL NO
非課税支払 int NULL NO
発地域C char 6 NO
着地域C char 6 NO
陸運局 char 2 YES
容積 decimal NULL YES
受領確認添付書K char 1 NO
最終更新 datetime NULL YES
LC int NULL NO
小口K char 1 YES
運送会社N varchar 30 YES
乗務員N varchar 16 YES
連絡先 varchar 13 YES
単位重量 decimal NULL YES
支払確定K char 1 NO
備考2 varchar 64 YES
予備1 money NULL YES
予備2 money NULL YES
予備3 varchar 64 YES
予備4 varchar 64 YES
予備5 varchar 64 YES
予備6 varchar 64 YES
予備7 varchar 64 YES

(106 行処理されました)
