TABLE_NAME ColumnCount
---------- -----------
Gｴｺﾄﾞﾗｲﾌﾞﾏｽﾀ 10
G経営基本事項 1
G整備ﾒﾓ 4
G整備項目ﾏｽﾀ 3
G整備項目車種ﾏｽﾀ 4
G整備明細 15
G点検項目ﾏｽﾀ 6
G点検項目整備ﾏｽﾀ 2
G点検明細 10
G燃費目標 15
G免許更新明細 4
LOCKWORD 2
ｱｸｾｽ制御ﾏｽﾀ 7
ｸﾗｲｱﾝﾄﾒﾆｭｰ情報 7
ｸﾗｲｱﾝﾄ情報 7
依頼銀行ﾏｽﾀ 8
運送経費配賦 8
運転手当名称 6
運転手別月計 37
運転手別出勤明細 5
運転日報割増明細 33
運転日報経費 3
運転日報実費明細 84
運転日報手当明細 10
運転日報明細 106
会社情報 14
割増項目ﾏｽﾀ 7
管理項目ﾏｽﾀ 8
管理車種ﾏｽﾀ 3
基本事項 51
基本事項割増 2
給与印刷設定 11
給与基本事項 47
給与計算項目 10
給与集計明細 39
給与情報 10
給与税率乙欄 6
給与税率乙欄B 3
給与税率甲欄 124
給与明細 98
距離学習ﾌｧｲﾙ 6
勤怠設定ﾏｽﾀ 16
勤怠明細 35
銀行ﾏｽﾀ 3
銀行支店ﾏｽﾀ 5
経費ﾏｽﾀ 18
経費学習単価ﾏｽﾀ 5
経費管理表印刷設定 10
経費種別ﾏｽﾀ 3
経費明細 41
軽油引取税適用日ﾏｽﾀ 2
月別配賦明細 5
個人番号管理情報 3
固定経費ﾏｽﾀ 6
削除明細 12
算定基礎明細 47
仕訳科目ﾏｽﾀ 3
市区町村ﾏｽﾀ 14
実費内訳ﾏｽﾀ 6
社員ﾏｽﾀ 43
社員給与ﾏｽﾀ 107
社員台帳ﾏｽﾀ 17
社員配偶者 8
社員扶養 15
社員免許ﾏｽﾀ 5
社員履歴ﾏｽﾀ 7
社会保険料割合 25
社会保険料賞与割合 24
社会保険料等級 15
車種ﾏｽﾀ 3
車輌ﾏｽﾀ 57
車輌走行距離 3
車輌別運転手別経費 10
車輌別月計 18
車輌別交換明細 8
取引先別残高 9
取引先別締日 6
取引先別日別発生 66
取引先別発生 43
種別ﾏｽﾀ 3
種別別月計 17
小分類ﾏｽﾀ 6
消費税ﾏｽﾀ 11
賞与情報 6
賞与税率乙欄 31
賞与税率甲欄 3
賞与税率甲欄B 62
振込手数料 11
請求明細発行履歴 3
大分類ﾏｽﾀ 4
地域ﾏｽﾀ 4
地区ﾏｽﾀ 20
中分類ﾏｽﾀ 5
通勤費限度額ﾏｽﾀ 3
得意先ﾏｽﾀ 30
得意先適用日ﾏｽﾀ 21
得意先別月計 60
得意先別地区ﾏｽﾀ 3
得意先別品名ﾏｽﾀ 4
入出金項目ﾏｽﾀ 4
入出金消込明細 8
入出金明細 20
年次適用日ﾏｽﾀ 3
燃料種別ﾏｽﾀ 4
売上学習ﾊﾟﾀｰﾝ 10
売上学習単価ﾏｽﾀ 13
汎用ﾛｸﾞ 7
汎用記憶領域 7
汎用相互通信 4
品名ﾏｽﾀ 19
部門ﾏｽﾀ 10
部門別月計 24
分類名称 12
未払先ﾏｽﾀ 34
未払先適用日ﾏｽﾀ 12
未払先別月計 19
免許種別ﾏｽﾀ 4
傭車学習ﾊﾟﾀｰﾝ 12
傭車学習単価ﾏｽﾀ 17
傭車車番ﾏｽﾀ 19
傭車先ﾏｽﾀ 39
傭車先適用日ﾏｽﾀ 20
傭車先別月計 38
陸運局ﾏｽﾀ 2
陸運局別月計 14

(125 行処理されました)
